Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Budapest Bake Inn,"Fast Food, Desserts, Beverages",500," BTM, Bangalore",4.2,171.0,4.0,1580.0,https://www.zomato.com/bangalore/budapest-bake-inn-btm-bangalore,"799, Ground Floor, 7th Cross, 15th Main, Micolayout, 2nd Stage, BTM, Bangalore",9.18E+11,12.91389782,77.60979831
Disney Bakery,Fast Food,100," BTM, Bangalore",4.2,319.0,3.9,0.0,https://www.zomato.com/bangalore/disney-bakery-btm,"305, Near HDFC ATM, 7th Cross,  2nd Stage, BTM, Bangalore",9.20E+11,12.91367723,77.60723244
Drunken Monkey,Beverages,400," Bannerghatta Road, Bangalore",4.2,301.0,3.9,1156.0,https://www.zomato.com/bangalore/drunken-monkey-bannerghatta-road,"54/55, 3rd Cross, Omkar Nagar, Arekere Gate, Bannerghatta Road, Bangalore",9.19E+11,12.89067625,77.5969978
New Modern Hotel,"South Indian, Beverages",150," Basavanagudi, Bangalore",4.2,329.0,3.2,0.0,https://www.zomato.com/bangalore/new-modern-hotel-basavanagudi,"Near Minerva Circle, AN Krishanrao Road, V V Puram, Basavanagudi, Bangalore",9.18E+11,12.95446037,77.57881578
Daily Sushi,"Japanese, Korean, Sushi, Asian",800," HSR, Bangalore",4.1,95.0,4.1,511.0,https://www.zomato.com/bangalore/daily-sushi-hsr-bangalore,"1212, 4th Floor, SBM Fortune, 3rd Sector, 22nd Cross Road, HSR, Bangalore",9.16E+11,12.90925532,77.63869744
Coal Spark,"North Indian, Seafood, BBQ, Chinese, Mughlai, Lebanese, Fast Food, Biryani",1000," HSR, Bangalore",4.1,136.0,4.1,2194.0,https://www.zomato.com/bangalore/coal-spark-hsr-bangalore,"At 1567, Ground Floor, NGR Complex, 27Th Main, HSR Layout, BTM Layout, B.B.M.P South(Karnataka)",9.18E+11,12.90362707,77.65000094
Mayuri,"Andhra, North Indian, Chinese, Beverages",800," JP Nagar, Bangalore",4.1,180.0,4.2,801.0,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore,"N-7, 1st Phase, TMC Layout, 24th Main Road, JP Nagar, Bangalore",9.16E+11,12.91263671,77.58569229
Hustle,"Tea, Fast Food, Beverages, Continental",700," HSR, Bangalore",4.1,126.0,4.2,14.0,https://www.zomato.com/bangalore/hustle-hsr-bangalore,"188/A, 22nd Cross, 3rd Sector, HSR, Bangalore",9.20E+11,12.90925564,77.64250115
The Light House Restaurant,"North Indian, Chinese, Seafood",700," New BEL Road, Bangalore",4.1,215.0,4.0,646.0,https://www.zomato.com/bangalore/the-light-house-restaurant-new-bel-road-bangalore,"62, 80 Feet Road, Near MS Ramaiah Hospital, Opposite To Apple Store, Devasandra Village, RMV 2nd Stage, New BEL Road, Bangalore",9.17E+11,13.02803001,77.57207237
Tata Cha,"Cafe, Tea, Beverages, Street Food",300," Jayanagar, Bangalore",4.1,240.0,3.9,127.0,https://www.zomato.com/bangalore/tata-cha-jayanagar-bangalore,"1/21, Chalamma Complex, 9th Main Road, 32nd Cross Road, 4th Block, Jayanagar, Bangalore",9.20E+11,12.92689351,77.58367024
Iyer Idly,South Indian,150," Thippasandra, Bangalore",4.1,145.0,3.1,0.0,https://www.zomato.com/bangalore/iyer-idly-thippasandra,"2, Kariyappa Building, Kuvempu Road, Vignan Nagar, Thippasandra, Bangalore",9.20E+11,12.97244822,77.67995652
Kulcha Stories,"North Indian, Street Food, Beverages",300," Koramangala 5th Block, Bangalore",4.1,132.0,3.7,272.0,https://www.zomato.com/bangalore/kulcha-stories-1-koramangala-5th-block-bangalore,"Shop 49/5, 1st Floor, 1st Main, Industrial Layout, Koramangala 5th Block, Bangalore",9.20E+11,12.9343616,77.61632111
The Yellow Tree,"Italian, Desserts",700," Hennur, Bangalore",4.1,217.0,3.8,143.0,https://www.zomato.com/bangalore/the-yellow-tree-hennur-bangalore,"1, Premier Park, Kothanur, Doddagubbi Road, Near Saiacs CEO Centre, Hennur, Bangalore",9.20E+11,13.06325792,77.65533451
Hi Seoul,Korean,800," Kalyan Nagar, Bangalore",4.1,246.0,4.4,406.0,https://www.zomato.com/bangalore/hi-seoul-kalyan-nagar,"309, 7th Main Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",9.18E+11,13.02014857,77.64304798
Kebarbiq Restaurant,"BBQ, Arabian, Continental, North Indian, Middle Eastern, Chinese, Beverages",800," HSR, Bangalore",4.1,295.0,4.1,1279.0,https://www.zomato.com/bangalore/kebarbiq-restaurant-hsr-bangalore,"445, Ground Floor, 17th Cross Road, Sector 4, HSR, Bangalore",9.20E+11,12.91229063,77.64247399
Draggers Café,"Cafe, Continental, North Indian, Chinese, Fast Food, Beverages",900," Kalyan Nagar, Bangalore",4.1,327.0,3.9,85.0,https://www.zomato.com/bangalore/draggers-café-kalyan-nagar,"527, 4th Floor, 4th Cross, CMR Road, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",9.20E+11,13.02133433,77.64170118
Cuppa Redefined,"Continental, Fast Food, Healthy Food, Desserts, Beverages",600," HSR, Bangalore",4.1,174.0,3.4,102.0,https://www.zomato.com/bangalore/cuppa-redefined-hsr-bangalore,"1237, Ground Floor, Sri Sai Crystal HSR layout, 7th sector, Bangalore",9.20E+11,12.91159782,77.63107493
Sampurna,"Andhra, South Indian, Biryani, Beverages",700," Ulsoor, Bangalore",4.1,153.0,3.9,205.0,https://www.zomato.com/bangalore/sampurna-1-ulsoor-bangalore,"1/2, Cambridge Cross Road, Ulsoor, Bangalore",9.20E+11,12.9725152,77.62610044
Cake Delight,Desserts,300," Sahakara Nagar, Bangalore",4.1,131.0,4.4,187.0,https://www.zomato.com/bangalore/cake-delight-sahakara-nagar-bangalore,"554, 1st Floor, F Block, Byatarayanpura, Sahakara Nagar, Bangalore",9.16E+11,13.063066,77.587019
Al-Badia Restaurant,"Arabian, Lebanese",650," Kammanahalli, Bangalore",4.1,168.0,3.7,657.0,https://www.zomato.com/bangalore/al-badia-restaurant-kammanahalli-bangalore,"959, 5th Main, 2nd Block, Kammanahalli, Bangalore",9.17E+11,13.0153078,77.63933748
Britalian,"Italian, British, Beverages, Desserts",1000," Frazer Town, Bangalore",4.1,175.0,3.9,31.0,https://www.zomato.com/bangalore/britalian-frazer-town-bangalore,"11/1, Jayamahal Extension, Nandi Durga Road, Opposite Indian Bank, Frazer Town, Bangalore",9.18E+11,12.99919463,77.6000914
Siddappa Hotel,South Indian,150," Richmond Road, Bangalore",4.1,316.0,3.6,0.0,https://www.zomato.com/bangalore/siddappa-hotel-richmond-road,"38, 7th Main, 5th Cross, SR Nagar, Richmond Road, Bangalore",9.20E+11,12.96590427,77.59091154
Bearfoot Bistro,"Cafe, Fast Food, Italian, Desserts",650," Koramangala 6th Block, Bangalore",4.1,222.0,4.4,442.0,https://www.zomato.com/bangalore/bearfoot-bistro-koramangala-6th-block-bangalore,"465C, 17th G Main, 80 Feet Road, Koramangala 6th Block, Bangalore",9.19E+11,12.94063713,77.62410957
Dhuaan,"Fast Food, Chinese",700," Koramangala 5th Block, Bangalore",4.1,229.0,3.8,0.0,https://www.zomato.com/bangalore/dhuaan-koramangala-5th-block,"66, 1st Floor, JNC Road, Koramangala 5th Block, Bangalore",9.20E+11,12.93306498,77.61477482
Sanman,"South Indian, North Indian, Chinese, Fast Food",600," Seshadripuram, Bangalore",4.1,201.0,3.9,0.0,https://www.zomato.com/bangalore/sanman-seshadripuram,"212, Subedar Chatram Road, Nagappa Road, VV Giri Colony, Seshadripuram, Bangalore",9.18E+11,12.98635855,77.57442232
Pizzeria Locale,"Pizza, Fast Food, Italian, Beverages, Pasta",700," Kalyan Nagar, Bangalore",4.1,207.0,3.6,477.0,https://www.zomato.com/bangalore/pizzeria-locale-1-kalyan-nagar-bangalore,"701, 5 D Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",9.20E+11,13.025218,77.64347
Happy Belly Bakes,"Bakery, Cafe, Desserts, Beverages",500," MG Road, Bangalore",4.1,198.0,4.4,352.0,https://www.zomato.com/bangalore/happy-belly-bakes-mg-road,"6/2, Primrose Road, MG Road, Bangalore",9.18E+11,12.971673,77.61261
Eddy's Cafe,"Cafe, American, Salad, Continental, Healthy Food, Italian",800," Indiranagar, Bangalore",4.1,244.0,3.9,253.0,https://www.zomato.com/bangalore/eddys-cafe-indiranagar-bangalore,"314, 6th Main, Defence Colony, 2nd Stage, Indiranagar, Bangalore",9.16E+11,12.97388284,77.6449272
The Studio Cafe,Cafe,400," Jayanagar, Bangalore",4.1,112.0,3.9,17.0,https://www.zomato.com/bangalore/the-studio-cafe-jayanagar-bangalore,"28, Patalamma Temple Street, South End Circle, 2 Block, Jayanagar, Bangalore",9.18E+11,12.93753811,77.57951785
Snoopy Paws Cafe,"Continental, Fast Food, Beverages",700," Yelahanka, Bangalore",4.1,70.0,3.5,0.0,https://www.zomato.com/bangalore/snoopy-paws-cafe-yelahanka-bangalore,"Survey 4/2, Yarappanahalli Main Road, Yelahanka, Bangalore",9.19E+11,13.0913393,77.658541
Cafe Aira,"Fast Food, Chinese, Desserts, Beverages",450," Basavanagudi, Bangalore",4.1,298.0,3.8,242.0,https://www.zomato.com/bangalore/cafe-aira-basavanagudi,"23, Lalbagh West Gate, Kanakapura Road, Near SRS Petrol Pump, Basavanagudi, Bangalore",9.16E+11,12.94535878,77.57703714
Nu Air Premium Cafe,"Fast Food, North Indian, Mughlai, Finger Food, Pizza",800," Frazer Town, Bangalore",4.1,178.0,3.9,0.0,https://www.zomato.com/bangalore/nu-air-premium-cafe-frazer-town-bangalore,"65, 4th Floor, Coles Road, Frazer Town, Bangalore",9.20E+11,12.99516234,77.61420786
5th Avenue Cafe,"Cafe, Italian, Continental",700," Koramangala 5th Block, Bangalore",4.1,128.0,3.9,32.0,https://www.zomato.com/bangalore/5th-avenue-cafe-koramangala-5th-block-bangalore,"44, Terrace Floor, 4th B-Cross Road, Industrial Layout, Koramangala 5th Block, Bangalore",9.18E+11,12.934072,77.615702
Dodo's Smokehouse,"Burger, Pizza, Chinese, Italian, Beverages",650," Electronic City, Bangalore",4.1,65.0,4.0,447.0,https://www.zomato.com/bangalore/dodos-smokehouse-electronic-city-bangalore,"272, 2nd Cross, Neeladri Main Road, Opposite Axis Bank, Electronic City, Bangalore",9.16E+11,12.84039061,77.65066814
Sheesh Kebab,"Kebab, Iranian, North Indian, Biryani, Rolls",500," Frazer Town, Bangalore",4.1,157.0,3.8,1201.0,https://www.zomato.com/bangalore/sheesh-kebab-frazer-town-bangalore,"55, MM Road, Opposite Post Office, Frazer Town, Bangalore",9.18E+11,13.000372,77.61672445
The Elephant Bowl Resto Cafe,"Continental, Italian, Fast Food, Desserts",500," HBR Layout, Bangalore",4.1,209.0,3.8,1351.0,https://www.zomato.com/bangalore/the-elephant-bowl-resto-cafe-hbr-layout-bangalore,"23, Ground Floor, 2nd Block, 80 Feet Road, HBR Layout, Bangalore",9.19E+11,13.025494,77.629682
Tapri By The Corner,"North Indian, Chinese",250," Koramangala 5th Block, Bangalore",4.1,175.0,4.1,1930.0,https://www.zomato.com/bangalore/tapri-by-the-corner-koramangala-5th-block,"70/1, 4th Cross, 17B Main Road, KHB Block, Koramangala 5th Block, Bangalore",9.17E+11,12.93551934,77.62123927
Sri Venkateshwara Sweetmeat Stall,"Mithai, Street Food, North Indian",400," Majestic, Bangalore",4.1,99.0,4.5,126.0,https://www.zomato.com/bangalore/sri-venkateshwara-sweetmeat-stall-majestic,"181, Balepet, Chikkapete, B.B.M.P, Majestic, Bangalore",9.18E+11,12.97297097,77.57480185
Brownie Heaven,"Desserts, Beverages",300," Indiranagar, Bangalore",4.1,183.0,4.0,1728.0,https://www.zomato.com/bangalore/brownie-heaven-indiranagar-bangalore,"6, 18th Main Road, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bangalore",9.20E+11,12.96252948,77.64187954
Mahalaxmi Tiffin Room,South Indian,100," Basavanagudi, Bangalore",4.1,230.0,4.0,0.0,https://www.zomato.com/bangalore/mahalaxmi-tiffin-room-basavanagudi,"85/1, DVG Road, Near National College, Basavanagudi, Bangalore",9.19E+11,12.94702163,77.57156342
Uttsav Donne Biryani Mane,"Biryani, South Indian",400," Nagarbhavi, Bangalore",4.1,138.0,4.2,1094.0,https://www.zomato.com/bangalore/uttsav-donne-biryani-mane-nagarbhavi,"326, Mallathahalli, Near AIT college, Nagarbhavi, Bangalore",9.20E+11,12.96444249,77.50479184
Sendhoor Coffee,"South Indian, Beverages",150," Indiranagar, Bangalore",4.1,166.0,4.1,2135.0,https://www.zomato.com/bangalore/sendhoor-coffee-indiranagar-bangalore,"58, Ground Floor, 7th Main, HAL 2nd Stage, Indiranagar, Banglore",9.18E+11,12.9705699,77.63340846
HVR Veg,South Indian,150," Seshadripuram, Bangalore",4.1,158.0,4.4,281.0,https://www.zomato.com/bangalore/hvr-veg-seshadripuram-bangalore,"162/1, 1st Main, Kumara Park West, Seshadripuram, Bangalore",9.19E+11,12.99385394,77.57749077
Bamboo Restaurant,"North Indian, Chinese, Biryani, Kerala, Ice Cream, Beverages",700," Kalyan Nagar, Bangalore",4.1,322.0,3.9,1113.0,https://www.zomato.com/bangalore/bamboo-restaurant-kalyan-nagar-bangalore,"408, 5th Main Road, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",9.20E+11,13.02295029,77.63968147
Barjari Oota,South Indian,350," Basavanagudi, Bangalore",4.1,232.0,3.9,0.0,https://www.zomato.com/bangalore/barjari-oota-basavanagudi-bangalore,"18, Gandhi Bazar, Main Road, Roti Ghar, Basavanagudi, Bangalore",9.18E+11,12.94484381,77.57220279
Cafe Shuffle,"Cafe, Continental, Chinese, Fast Food, Beverages",550," Banashankari, Bangalore",4.1,292.0,3.6,169.0,https://www.zomato.com/bangalore/cafe-shuffle-banashankari-bangalore,"941, 3rd Floor, 21st Main, 22nd Cross, 2nd Stage, Opposite BDA Complex, Banashankari, Bangalore",9.20E+11,12.92589258,77.56476838
Sai Shakti,"North Indian, Chinese, Beverages",300," Malleshwaram, Bangalore",4.1,271.0,3.6,0.0,https://www.zomato.com/bangalore/sai-shakti-malleshwaram,"56, New Gandhi Sahithya Sangh, 4th Main, 8th Cross, Malleshwaram, Bangalore",9.20E+11,12.99915249,77.56807689
Chopstick World,"Chinese, North Indian, Thai, Mughlai, Fast Food, Seafood, Rolls",800," Basaveshwara Nagar, Bangalore",4.1,205.0,3.2,2.0,https://www.zomato.com/bangalore/chopstick-world-basaveshwara-nagar,"5, 1st Main, 2nd Block, 3rd Stage, Basaveshwara Nagar, Bangalore",9.18E+11,12.98573488,77.54242022
The Daily Bean,"Continental, Fast Food, Desserts",350," Hennur, Bangalore",4.1,153.0,3.1,0.0,https://www.zomato.com/bangalore/the-daily-bean-hennur-bangalore,"322, Annaiah Reddy Layout Road, Kothanur, Hennur, Bangalore",9.20E+11,13.06404861,77.64882345
Blue Tokai Coffee Roasters,"Tea, Healthy Food, American, Lebanese, Mediterranean, European, Middle Eastern, Juices",600," Koramangala 8th Block, Bangalore",4.1,279.0,4.3,406.0,https://www.zomato.com/bangalore/blue-tokai-coffee-roasters-koramangala-8th-block-bangalore,"583, 80 Feet Road, Opposite Bethany High School, Koramangala 8th Block, Banglore",9.19E+11,12.94051524,77.62007486
Biggies Burger,"Fast Food, Burger, Beverages",400," Church Street, Bangalore",4.1,304.0,3.9,1345.0,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore,"Shop 4, Old 19, Corporation 46/3, Kalpak Arcade, Church Street, Bangalore",9.19E+11,12.975455,77.60287721
Banashankari Donne Biriyani,"Biryani, Fast Food",300," Banashankari, Bangalore",4.1,214.0,4.1,1100.0,https://www.zomato.com/bangalore/banashankari-donne-biriyani-banashankari,"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",9.20E+11,12.94162917,77.55743153
Coffee Mechanics,"Cafe, Continental, Fast Food, Desserts, Bakery, Finger Food",700," HBR Layout, Bangalore",4.1,230.0,4.1,207.0,https://www.zomato.com/bangalore/coffee-mechanics-hbr-layout,"254, Fifth Block, First Stage, 3rd Main Road, HBR Layout, Bangalore",9.19E+11,13.03104526,77.62744591
Polamma's Mess,"Andhra, Biryani, South Indian",300," BTM, Bangalore",4.1,206.0,4.0,1044.0,https://www.zomato.com/bangalore/polammas-mess-btm,"67/2, Near Christ University, 2nd Cross, C.L. Layout, Adugodi, BTM, Bangalore",9.20E+11,12.93650357,77.60832176
Namma Kudla,"South Indian, Mangalorean, Mithai",100," Malleshwaram, Bangalore",4.1,111.0,4.1,449.0,https://www.zomato.com/bangalore/namma-kudla-malleshwaram,"97, 8th Cross, Temple Road, Malleshwaram, Bangalore",9.18E+11,12.99989504,77.57231981
Udupi Sri Krishna Bhavan,"South Indian, North Indian, Chinese",400," Basavanagudi, Bangalore",4.1,283.0,4.0,0.0,https://www.zomato.com/bangalore/udupi-sri-krishna-bhavan-basavanagudi,"115/116, 1st Floor, Gandhibazaar, Basavanagudi, Bangalore",9.18E+11,12.94579009,77.57054519
Amande Patisserie,"Bakery, Desserts, Fast Food, Beverages",700," Indiranagar, Bangalore",4.1,112.0,3.9,31.0,https://www.zomato.com/bangalore/amande-patisserie-1-indiranagar-bangalore,"777/D, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",9.19E+11,12.96795,77.641228
Masala Chai,"Beverages, Fast Food, Tea",250," Whitefield, Bangalore",4.1,205.0,3.8,531.0,https://www.zomato.com/bangalore/masala-chai-1-whitefield,"G05 Brigade Metropolis, Gorudacharpalya, Whitefield, Bangalore",9.18E+11,12.99196043,77.70279385
Shri Ram Sweet Centre,"Mithai, Street Food",150," BTM, Bangalore",4.1,205.0,3.8,0.0,https://www.zomato.com/bangalore/shri-ram-sweet-centre-btm,"69/A, BHCS Layout, 2nd Stage, 2nd Cross, BTM, Bangalore",9.18E+11,12.91427462,77.60062516
Cool Corner,"Sandwich, South Indian, Street Food, Fast Food, Ice Cream, Desserts, Beverages",200," Basavanagudi, Bangalore",4.1,217.0,4.0,0.0,https://www.zomato.com/bangalore/cool-corner-basavanagudi,"1/10, Nisha Complex, Near National College, KR Road, Basavanagudi, Bangalore",9.18E+11,12.9474121,77.5738718
Burger Yard,"Cafe, Fast Food, Asian, Beverages",700," HSR, Bangalore",4.1,137.0,3.9,32.0,https://www.zomato.com/bangalore/burger-yard-1-hsr-bangalore,"28, MCH Society, Sector 4, HSR, Bangalore",9.19E+11,12.91356743,77.63820391
The Humble Pie,"Bakery, Desserts, Beverages",200," HSR, Bangalore",4.1,68.0,4.5,357.0,https://www.zomato.com/bangalore/the-humble-pie-hsr-bangalore,"Shop 1, Ground Floor, 1197 Falak Complex, 22nd Cross, Sector 2, HSR, Bangalore",9.18E+11,12.90867557,77.6504378
The Thick Shake Factory,"Beverages, Desserts, Ice Cream",350," Koramangala 1st Block, Bangalore",4.1,271.0,4.2,1114.0,https://www.zomato.com/bangalore/the-thick-shake-factory-koramangala-1st-block-bangalore,"11, 1st Main, Jakkasandra Extension, Koramangala 1st Block, Bangalore",9.20E+11,12.927274,77.637993
Chaska Bun,"Street Food, Beverages",250," Koramangala 5th Block, Bangalore",4.1,209.0,4.5,983.0,https://www.zomato.com/bangalore/chaska-bun-koramangala-5th-block,"34, 5th Cross, Koramangala 5th Block, Bangalore",9.18E+11,12.93600688,77.62140121
Sreeraj Lassi Bar,"Beverages, Desserts, Ice Cream, Fast Food",200," Jayanagar, Bangalore",4.1,220.0,4.1,1396.0,https://www.zomato.com/bangalore/sreeraj-lassi-bar-jayanagar,"196, 8th E Main, 27th Cross, 3rd Block, Suraj Plaza, Jayanagar, Bangalore",9.20E+11,12.93141445,77.58355994
Mama Mia!,"Desserts, Ice Cream, Beverages, Bakery",300," Seshadripuram, Bangalore",4.1,169.0,3.6,336.0,https://www.zomato.com/bangalore/mama-mia-seshadripuram-bangalore,"73/3, Railway Parallel Road, Kumara Park West, Seshadripuram, Bangalore",9.20E+11,12.99143184,77.57990576
